incluido;revision;motivo_revision;grupo;id_contrato;referencia;categorias;territorio;dependencia;entidad;proveedor;tipo_doc_prov;valor_inicial;adicion_cuantificada;pct_adicion_sobre_inicial;fuente_adicion;valor_contrato;valor_pagado;fecha_firma;fecha_inicio;fecha_fin;modalidad;tipo_contrato;unspsc;n_modif_registradas;n_modif_publicadas;dias_extendidos_total;objeto;url_proceso
SI;Evidencia alta, no requirió revisión;;A;CO1.PCCNTR.8850155;4143.010.26.1.0579.2026;Alimentación y catering;Cali;Educación;SECRETARIA DE EDUCACION DE CALI;UNION TEMPORAL NUTRIENDO CALI 2026;No Definido;;;;;37795283401;0;2026-01-15;2026-01-20;2026-10-26;Licitación pública;Prestación de servicios;V1.90101800;6;3;0;"CONTRATAR LA PRESTACIÓN DEL SERVICIO PARA BRINDAR COMPLEMENTO ALIMENTARIO DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR - PAE DURANTE EL CALENDARIO ESCOLAR Y EN LA JORNADA ACADÉMICA DE LOS NIÑOS; NIÑAS; ADOLESCENTES Y JÓVENES DE SANTIAGO DE CALI DISTRITO ESPECIAL DEPORTIVO; CULTURAL; TURÍSTICO; EMPRESARIAL Y DE SERVICIOS FOCALIZADOS EN LA ESTRATEGIA; DE ACUERDO CON LOS LINEAMIENTOS DEL MINISTERIO DE EDUCACIÓN NACIONAL Y LA UNIDAD ADMINISTRATIVA ESPECIAL DE ALIMENTACIÓN ESCOLAR";https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9193041&isFromPublicArea=True&isModal=true&asPopupView=true
SI;Evidencia alta, no requirió revisión;;A;CO1.PCCNTR.8850314;4143.010.26.1. 0576.2026;Alimentación y catering;Cali;Educación;SECRETARIA DE EDUCACION DE CALI;ORGANIZACION EMPRESARIAL NRC S.A;NIT;;;;;37208427317;0;2026-01-15;2026-01-20;2026-10-26;Licitación pública;Prestación de servicios;V1.90101800;6;3;0;"CONTRATAR LA PRESTACIÓN DEL SERVICIO PARA BRINDAR COMPLEMENTO ALIMENTARIO DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR - PAE DURANTE EL CALENDARIO ESCOLAR Y EN LA JORNADA ACADÉMICA DE LOS NIÑOS; NIÑAS; ADOLESCENTES Y JÓVENES DE SANTIAGO DE CALI DISTRITO ESPECIAL DEPORTIVO; CULTURAL; TURÍSTICO; EMPRESARIAL Y DE SERVICIOS FOCALIZADOS EN LA ESTRATEGIA; DE ACUERDO CON LOS LINEAMIENTOS DEL MINISTERIO DE EDUCACIÓN NACIONAL Y LA UNIDAD ADMINISTRATIVA ESPECIAL DE ALIMENTACIÓN ESCOLAR";https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9193041&isFromPublicArea=True&isModal=true&asPopupView=true
SI;Evidencia alta, no requirió revisión;;A;CO1.PCCNTR.8849869;4143.010.26.1.0577.2026;Alimentación y catering;Cali;Educación;SECRETARIA DE EDUCACION DE CALI;Fundacion Prodesarrollo Comunitario Accion por Colombia;NIT;;;;;36837759134;0;2026-01-15;2026-01-20;2026-10-26;Licitación pública;Prestación de servicios;V1.90101800;4;2;0;"CONTRATAR LA PRESTACIÓN DEL SERVICIO PARA BRINDAR COMPLEMENTO ALIMENTARIO DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR - PAE DURANTE EL CALENDARIO ESCOLAR Y EN LA JORNADA ACADÉMICA DE LOS NIÑOS; NIÑAS; ADOLESCENTES Y JÓVENES DE SANTIAGO DE CALI DISTRITO ESPECIAL DEPORTIVO; CULTURAL; TURÍSTICO; EMPRESARIAL Y DE SERVICIOS FOCALIZADOS EN LA ESTRATEGIA; DE ACUERDO CON LOS LINEAMIENTOS DEL MINISTERIO DE EDUCACIÓN NACIONAL Y LA UNIDAD ADMINISTRATIVA ESPECIAL DE ALIMENTACIÓN ESCOLAR";https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9193041&isFromPublicArea=True&isModal=true&asPopupView=true
SI;Evidencia alta, no requirió revisión;;A;CO1.PCCNTR.8850153;4143.010.26.1.0578.2026;Alimentación y catering;Cali;Educación;SECRETARIA DE EDUCACION DE CALI;(CON) ALIMENTANDO CALI 2026;No Definido;;;;;34683577839;0;2026-01-15;2026-01-20;2026-10-26;Licitación pública;Prestación de servicios;V1.90101800;5;2;0;"CONTRATAR LA PRESTACIÓN DEL SERVICIO PARA BRINDAR COMPLEMENTO ALIMENTARIO DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR - PAE DURANTE EL CALENDARIO ESCOLAR Y EN LA JORNADA ACADÉMICA DE LOS NIÑOS; NIÑAS; ADOLESCENTES Y JÓVENES DE SANTIAGO DE CALI DISTRITO ESPECIAL DEPORTIVO; CULTURAL; TURÍSTICO; EMPRESARIAL Y DE SERVICIOS FOCALIZADOS EN LA ESTRATEGIA; DE ACUERDO CON LOS LINEAMIENTOS DEL MINISTERIO DE EDUCACIÓN NACIONAL Y LA UNIDAD ADMINISTRATIVA ESPECIAL DE ALIMENTACIÓN ESCOLAR";https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9193041&isFromPublicArea=True&isModal=true&asPopupView=true
SI;Confirmado en revisión manual;"Festival Petronio Álvarez XXX; operador de eventos del Distrito";A;CO1.PCCNTR.9683605;4148.010.27.1.0016-2026;Logística y eventos;Cali;Cultura;SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE CULTURA;Corporación de Eventos, Ferias y Espectáculos de Cali;NIT;;;;;20644713015;0;2026-07-17;2026-07-22;2026-11-15;Contratación directa;Otro;V1.93141700;1;1;0;"Aunar esfuerzos técnicos; logísticos; humanos; administrativos y financieros para realizar las acciones que visibilizan y fortalecen el proceso y la realización del Festival de Música del Pacífico Petronio Álvarez en su versión XXX; en el marco de los proyectos de inversión destinados para tal fin";https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10536695&isFromPublicArea=True&isModal=true&asPopupView=true
SI;Evidencia alta, no requirió revisión;;A;CO1.PCCNTR.9774151;1.210.20.01-8372;Alimentación y catering;Valle;Educación;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;FUNDACIÓN PARA LA CAPACITACIÓN DESARROLLO Y BIENESTAR HUMANO;NIT;;;;;15714285715;0;2026-08-06;2026-08-10;2026-12-31;Contratación régimen especial;Decreto 092 de 2017;V1.85151501;0;0;0;"AUNAR ESFUERZOS TÉCNICOS; ADMINISTRATIVOS Y FINANCIEROS PARA EL FORTALECIMIENTO DE LOS EJES ESTRUCTURALES Y LOS MECANISMOS DE CONTROL SOCIAL Y PARTICIPACIÓN CIUDADANA EN LA PRESTACION Y LA EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR DE LOS MUNICIPIOS NO CERTIFICADOS DEL VALLE DEL CAUCA";https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10659583&isFromPublicArea=True&isModal=true&asPopupView=true
SI;Evidencia alta, no requirió revisión;;A;CO1.PCCNTR.9494410;4161.010.26.1.848.2026;Alimentación y catering;Cali;Seguridad y Justicia;SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE SEGURIDAD Y JUSTICIA;UT ALIMENTACION INTEGRAL CALI 2026;No Definido;7900000000;3950000000;50.0;Monto leído en el documento del expediente (RPC/CDP/ficha técnica del otrosí);11850000000;0;2026-05-06;2026-05-06;2026-07-16;Selección abreviada subasta inversa;Suministros;V1.90101700;2;2;22;"SUMINISTRO DE ALIMENTACIÓN PREPARADA; EMPACADA Y ENTREGADA INDIVIDUALMENTE EN SITIO; PARA LA POBLACIÓN PRIVADA DE LA LIBERTAD - PPL; QUE SE ENCUENTRAN EN LOS CENTROS DE DETENCIÓN TRANSITORIA DEL DISTRITO ESPECIAL DE SANTIAGO DE CALI.";https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10207276&isFromPublicArea=True&isModal=true&asPopupView=true
NO;Descartado en revisión manual;"Proyectos pedagógicos y convivencia escolar; UNSPSC 90101600 (catering) mal asignado";A;CO1.PCCNTR.9381050;1.210.20.01-6021;Alimentación y catering;Valle;Educación;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;FUNDACIÓN AVE FÉNIX;NIT;;;;;10581717368;0;2026-03-06;2026-03-19;2026-12-15;Contratación régimen especial (con ofertas);Decreto 092 de 2017;V1.90101600;0;0;0;"Aunar esfuerzos técnicos; administrativos y financieros para la ejecución de los proyectos de consolidación de la alianza familia - escuela; el mejoramiento de la gestión escolar; - fortalecimiento de los proyectos pedagógicos productivos; emprendimiento y asociaciones de futuros agricultores y; el fortalecimiento de la convivencia escolar y proyectos pedagógicos trasversales en las instituciones educativas oficiales de los municipios no certificados del Valle del Cauca";https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10070317&isFromPublicArea=True&isModal=true&asPopupView=true
SI;Confirmado en revisión manual;Las modificaciones citan textualmente 'componente de suministro de alimentación' y 'apoyo logístico durante la jornada electoral';A;CO1.PCCNTR.9227904;4173.010.26.1.0289-2026;Alimentación y catering|Logística y eventos;Cali;Desarrollo Territorial;SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE DESARROLLO TERRITORIAL Y PARTICIPACION CIUDADANA;INNOVATECH E.I.C.E.;NIT;5580141970;2789936490;50.0;Diferencia entre valores registrados en el dataset de modificaciones;8370078460;0;2026-01-28;2026-01-30;2026-07-31;Contratación directa;Otro;V1.90101600;6;3;0;"APOYAR EL PROCESO DE ELECCIONES AL CONGRESO DE LA REPÚBLICA; PRESIDENCIALES Y DIGNATARIOS DE ORGANISMOS DE ACCIÓN COMUNAL DEL 2026 EN DISTRITO DE SANTIAGO DE CALI";https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9859692&isFromPublicArea=True&isModal=true&asPopupView=true
SI;Confirmado en revisión manual;Ejecución de carreras atléticas y circuitos deportivos: evento masivo;A;CO1.PCCNTR.9678479;4162.010.26.1.2090-2026;Logística y eventos;Cali;Deporte y Recreación;SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DEL DEPORTE Y LA RECREACIÓN;LIVATRI;NIT;;;;;5503283933;0;2026-07-18;2026-07-24;2026-12-31;Contratación régimen especial (con ofertas);Decreto 092 de 2017;V1.80141600;1;1;0;"AUNAR ESFUERZOS TÉCNICOS; ADMINISTRATIVOS; FINANCIEROS Y OPERATIVOS PARA LA IMPLEMENTACIÓN DE ESTRATEGIAS DE ACTIVIDAD FÍSICA MEDIANTE LA EJECUCIÓN DE CARRERAS ATLÉTICAS RECREATIVAS Y GRATUITAS Y CIRCUITOS DEPORTIVOS FUNCIONALES TIPO HÍBRIDO (CARRERA CON ESTACIONES DE ACONDICIONAMIENTO FÍSICO); EN EL DISTRITO ESPECIAL DE SANTIAGO DE CALI; ORIENTADAS A PROMOVER ESTILOS DE VIDA SALUDABLES; EL APROVECHAMIENTO DEL TIEMPO LIBRE; LA INTEGRACIÓN COMUNITARIA Y EL FORTALECIMIENTO DE LA CULTURA DEPORTIVA";https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10432188&isFromPublicArea=True&isModal=true&asPopupView=true
SI;Evidencia alta, no requirió revisión;;B;CO1.PCCNTR.9361574;1.410-19.13-6014;Transporte y viajes;Valle;Convivencia y Seguridad;GOBERNACION DEL VALLE - SECRETARIA DE CONVIVENCIA Y SEGURIDAD CIUDADANA;SEGUNDO ALFONSO SOLIS GRUESO;Cédula de Ciudadanía;;;;;4600000000;0;2026-02-26;2026-02-27;2026-07-31;Licitación pública;Prestación de servicios;V1.78111700;0;0;0;"PRESTACIÓN DEL SERVICIO DE TRANSPORTE MARÍTIMO Y FLUVIAL PARA GARANTIZAR EL DESPLAZAMIENTO DE LA ARMADA NACIONAL POR LOS CORREGIMIENTOS MARÍTIMOS Y FLUVIALES DEL ÁREA RURAL DEL DISTRITO ESPECIAL DE BUENAVENTURA PARA ATENDER LOS PROCESOS ELECTORALES DE SENADO Y CAMARA; ASÍ COMO PRESIDENCIALES DEL AÑO 2026";https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9990796&isFromPublicArea=True&isModal=true&asPopupView=true
