incluido;id_contrato;referencia;dependencia;proveedor;categorias;valor_contrato;tipo_inferido;estado;fecha_aprobacion;valor_resultante;dias_extendidos;proposito_texto
SI;CO1.PCCNTR.8850155;4143.010.26.1.0579.2026;Cali · Educación;UNION TEMPORAL NUTRIENDO CALI 2026;Alimentación y catering;37795283401;Otra;Rechazado por el Proveedor;2026-01-28;37798620013;0;"Que en virtud de lo anterior se solicita a la Secretaria De Educación Distrital suscribir la modificación del contrato No. 4143.010.26.1.0579.2026 con el fin de asegurar su inmediato continuo y adecuado desarrollo y evitar la afectación grave en la ejecución del mismo; de igual manera a que se realicen las acciones administrativas financieras y contractuales para garantizar la atención de los estudiantes"
SI;CO1.PCCNTR.8850155;4143.010.26.1.0579.2026;Cali · Educación;UNION TEMPORAL NUTRIENDO CALI 2026;Alimentación y catering;37795283401;Otra;Rechazado por el Proveedor;2026-01-30;37798625374;0;"Que en virtud de lo anterior se solicita a la Secretaria De Educación Distrital suscribir la modificación del contrato No. 4143.010.26.1. 0579.2026 con el fin de asegurar su inmediato continuo y adecuado desarrollo y evitar la afectación grave en la ejecución del mismo; de igual manera a que se realicen las acciones administrativas financieras y contractuales para garantizar la atención de los estudiantes"
SI;CO1.PCCNTR.8850155;4143.010.26.1.0579.2026;Cali · Educación;UNION TEMPORAL NUTRIENDO CALI 2026;Alimentación y catering;37795283401;Otra;Publicado;2026-01-30;37798625374;0;"Que en virtud de lo anterior se solicita a la Secretaria De Educación Distrital suscribir la modificación del contrato No. 4143.010.26.1. 0579.2026 con el fin de asegurar su inmediato continuo y adecuado desarrollo y evitar la afectación grave en la ejecución del mismo; de igual manera a que se realicen las acciones administrativas financieras y contractuales para garantizar la atención de los estudiantes"
SI;CO1.PCCNTR.8850155;4143.010.26.1.0579.2026;Cali · Educación;UNION TEMPORAL NUTRIENDO CALI 2026;Alimentación y catering;37795283401;Otra;Publicado;2026-03-31;37795283401;0;"se solicita a la Secretaria De Educación Distrital suscribir la modificación del contrato No. 4143.010.26.1.0579.2026 con el fin de asegurar su inmediato continuo y adecuado desarrollo y evitar la afectación grave en la ejecución del mismo; de igual manera a que se realicen las acciones administrativas financieras y contractuales para garantizar la atención de los estudiantes"
SI;CO1.PCCNTR.8850155;4143.010.26.1.0579.2026;Cali · Educación;UNION TEMPORAL NUTRIENDO CALI 2026;Alimentación y catering;37795283401;Aclaración o corrección;Publicado;2026-05-28;37795283401;0;ACLARAR que el valor en que se reduce el contrato de prestación de servicios No. 4143.010.26.1.0579.2026 corresponde a la suma de TRES MILLONES TRESCIENTOS CUARENTA Y UN MIL NOVECIENTOS SETENTA Y TRES PESOS CON DOS CENTAVOS ($ 3.341.97302) por lo tanto el valor del contrato es de TREINTA Y SIETE MIL SETECIENTOS NOVENTA Y CINCO MILLONES DOSCIENTOS OCHENTA Y TRES MIL CUATROCIENTOS UN PESOS CON NOVENTA Y TRES CENTAVOS M/CTE ($37.795.283.40193)
SI;CO1.PCCNTR.8850155;4143.010.26.1.0579.2026;Cali · Educación;UNION TEMPORAL NUTRIENDO CALI 2026;Alimentación y catering;37795283401;Otra;Rechazado por el Proveedor;2026-08-26;37795283401;0;MODIFICAR el Contrato de Prestación de Servicios No. 4143.010.26.1.0579.2026 con el fin de incorporar la MODALIDAD DE CANASTA PAE EN CASA garantizando así su ejecución inmediata continua y adecuada y evitando posibles afectaciones graves en la prestación del servicio. De igual manera se deberán adelantar las acciones administrativas financieras y contractuales que sean necesarias para garantizar la continuidad y adecuada atención de los estudiantes beneficiarios del Programa de Alimentación Escolar (PAE).
SI;CO1.PCCNTR.8850155;4143.010.26.1.0579.2026;Cali · Educación;UNION TEMPORAL NUTRIENDO CALI 2026;Alimentación y catering;37795283401;Otra;Publicado;2026-08-28;37795283401;0;MODIFICAR el Contrato de Prestación de Servicios No. 4143.010.26.1.0579.2026 con el fin de incorporar la MODALIDAD DE CANASTA PAE EN CASA garantizando así su ejecución inmediata continua y adecuada y evitando posibles afectaciones graves en la prestación del servicio. De igual manera se deberán adelantar las acciones administrativas financieras y contractuales que sean necesarias para garantizar la continuidad y adecuada atención de los estudiantes beneficiarios del Programa de Alimentación Escolar (PAE).
SI;CO1.PCCNTR.8850314;4143.010.26.1. 0576.2026;Cali · Educación;ORGANIZACION EMPRESARIAL NRC S.A;Alimentación y catering;37208427317;Otra;Rechazado por el Proveedor;2026-01-28;37229441834;0;"Que en virtud de lo anterior se solicita a la Secretaria De Educación Distrital suscribir la modificación del contrato No. 4143.010.26.1. 0576.2026 con el fin de asegurar su inmediato continuo y adecuado desarrollo y evitar la afectación grave en la ejecución del mismo; de igual manera a que se realicen las acciones administrativas financieras y contractuales para garantizar la atención de los estudiantes"
SI;CO1.PCCNTR.8850314;4143.010.26.1. 0576.2026;Cali · Educación;ORGANIZACION EMPRESARIAL NRC S.A;Alimentación y catering;37208427317;Otra;Publicado;2026-01-30;37229445788;0;"Que en virtud de lo anterior se solicita a la Secretaria De Educación Distrital suscribir la modificación del contrato No. 4143.010.26.1. 0576.2026 con el fin de asegurar su inmediato continuo y adecuado desarrollo y evitar la afectación grave en la ejecución del mismo; de igual manera a que se realicen las acciones administrativas financieras y contractuales para garantizar la atención de los estudiantes"
SI;CO1.PCCNTR.8850314;4143.010.26.1. 0576.2026;Cali · Educación;ORGANIZACION EMPRESARIAL NRC S.A;Alimentación y catering;37208427317;Otra;Rechazado por el Proveedor;2026-01-30;37229445788;0;"22. Que en virtud de lo anterior se solicita a la Secretaria De Educación Distrital suscribir la modificación del contrato No. 4143.010.26.1. 0576.2026 con el fin de asegurar su inmediato continuo y adecuado desarrollo y evitar la afectación grave en la ejecución del mismo; de igual manera a que se realicen las acciones administrativas financieras y contractuales para garantizar la atención de los estudiantes"
